"","mpg","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","car.name"
"175",15,8,302,130,4295,14.9,77,1,"mercury cougar brougham"
"176",17.5,6,250,110,3520,16.4,77,1,"chevrolet concours"
"177",20.5,6,231,105,3425,16.9,77,1,"buick skylark"
"178",19,6,225,100,3630,17.7,77,1,"plymouth volare custom"
"179",18.5,6,250,98,3525,19,77,1,"ford granada"
"180",16,8,400,180,4220,11.1,77,1,"pontiac grand prix lj"
"181",15.5,8,350,170,4165,11.4,77,1,"chevrolet monte carlo landau"
"182",15.5,8,400,190,4325,12.2,77,1,"chrysler cordoba"
"183",16,8,351,149,4335,14.5,77,1,"ford thunderbird"
"184",29,4,97,78,1940,14.5,77,2,"volkswagen rabbit custom"
"185",24.5,4,151,88,2740,16,77,1,"pontiac sunbird coupe"
"186",26,4,97,75,2265,18.2,77,3,"toyota corolla liftback"
"187",25.5,4,140,89,2755,15.8,77,1,"ford mustang ii 2+2"
"188",30.5,4,98,63,2051,17,77,1,"chevrolet chevette"
"189",33.5,4,98,83,2075,15.9,77,1,"dodge colt m/m"
"190",30,4,97,67,1985,16.4,77,3,"subaru dl"
"191",30.5,4,97,78,2190,14.1,77,2,"volkswagen dasher"
"192",22,6,146,97,2815,14.5,77,3,"datsun 810"
"193",21.5,4,121,110,2600,12.8,77,2,"bmw 320i"
"194",21.5,3,80,110,2720,13.5,77,3,"mazda rx-4"
"195",43.1,4,90,48,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"196",36.1,4,98,66,1800,14.4,78,1,"ford fiesta"
"197",32.8,4,78,52,1985,19.4,78,3,"mazda glc deluxe"
"198",39.4,4,85,70,2070,18.6,78,3,"datsun b210 gx"
"199",36.1,4,91,60,1800,16.4,78,3,"honda civic cvcc"
"200",19.9,8,260,110,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"201",19.4,8,318,140,3735,13.2,78,1,"dodge diplomat"
"202",20.2,8,302,139,3570,12.8,78,1,"mercury monarch ghia"
"203",19.2,6,231,105,3535,19.2,78,1,"pontiac phoenix lj"
"204",20.5,6,200,95,3155,18.2,78,1,"chevrolet malibu"
"205",20.2,6,200,85,2965,15.8,78,1,"ford fairmont (auto)"
"206",25.1,4,140,88,2720,15.4,78,1,"ford fairmont (man)"
"207",20.5,6,225,100,3430,17.2,78,1,"plymouth volare"
"208",19.4,6,232,90,3210,17.2,78,1,"amc concord"
"209",20.6,6,231,105,3380,15.8,78,1,"buick century special"
"210",20.8,6,200,85,3070,16.7,78,1,"mercury zephyr"
"211",18.6,6,225,110,3620,18.7,78,1,"dodge aspen"
"212",18.1,6,258,120,3410,15.1,78,1,"amc concord d/l"
"213",19.2,8,305,145,3425,13.2,78,1,"chevrolet monte carlo landau"
"214",17.7,6,231,165,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"215",18.1,8,302,139,3205,11.2,78,1,"ford futura"
"216",17.5,8,318,140,4080,13.7,78,1,"dodge magnum xe"
"217",30,4,98,68,2155,16.5,78,1,"chevrolet chevette"
"218",27.5,4,134,95,2560,14.2,78,3,"toyota corona"
"219",27.2,4,119,97,2300,14.7,78,3,"datsun 510"
"220",30.9,4,105,75,2230,14.5,78,1,"dodge omni"
"221",21.1,4,134,95,2515,14.8,78,3,"toyota celica gt liftback"
"222",23.2,4,156,105,2745,16.7,78,1,"plymouth sapporo"
"223",23.8,4,151,85,2855,17.6,78,1,"oldsmobile starfire sx"
"224",23.9,4,119,97,2405,14.9,78,3,"datsun 200-sx"
"225",20.3,5,131,103,2830,15.9,78,2,"audi 5000"
"226",17,6,163,125,3140,13.6,78,2,"volvo 264gl"
"227",21.6,4,121,115,2795,15.7,78,2,"saab 99gle"
"228",16.2,6,163,133,3410,15.8,78,2,"peugeot 604sl"
"229",31.5,4,89,71,1990,14.9,78,2,"volkswagen scirocco"
"230",29.5,4,98,68,2135,16.6,78,3,"honda accord lx"
"231",21.5,6,231,115,3245,15.4,79,1,"pontiac lemans v6"
"232",19.8,6,200,85,2990,18.2,79,1,"mercury zephyr 6"
"233",22.3,4,140,88,2890,17.3,79,1,"ford fairmont 4"
"234",20.2,6,232,90,3265,18.2,79,1,"amc concord dl 6"
"235",20.6,6,225,110,3360,16.6,79,1,"dodge aspen 6"
"236",17,8,305,130,3840,15.4,79,1,"chevrolet caprice classic"
"237",17.6,8,302,129,3725,13.4,79,1,"ford ltd landau"
"238",16.5,8,351,138,3955,13.2,79,1,"mercury grand marquis"
"239",18.2,8,318,135,3830,15.2,79,1,"dodge st. regis"
"240",16.9,8,350,155,4360,14.9,79,1,"buick estate wagon (sw)"
"241",15.5,8,351,142,4054,14.3,79,1,"ford country squire (sw)"
"242",19.2,8,267,125,3605,15,79,1,"chevrolet malibu classic (sw)"
"243",18.5,8,360,150,3940,13,79,1,"chrysler lebaron town @ country (sw)"
"244",31.9,4,89,71,1925,14,79,2,"vw rabbit custom"
"245",34.1,4,86,65,1975,15.2,79,3,"maxda glc deluxe"
"246",35.7,4,98,80,1915,14.4,79,1,"dodge colt hatchback custom"
"247",27.4,4,121,80,2670,15,79,1,"amc spirit dl"
"248",25.4,5,183,77,3530,20.1,79,2,"mercedes benz 300d"
"249",23,8,350,125,3900,17.4,79,1,"cadillac eldorado"
"250",27.2,4,141,71,3190,24.8,79,2,"peugeot 504"
"251",23.9,8,260,90,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"252",34.2,4,105,70,2200,13.2,79,1,"plymouth horizon"
"253",34.5,4,105,70,2150,14.9,79,1,"plymouth horizon tc3"
"254",31.8,4,85,65,2020,19.2,79,3,"datsun 210"
"255",37.3,4,91,69,2130,14.7,79,2,"fiat strada custom"
"256",28.4,4,151,90,2670,16,79,1,"buick skylark limited"
"257",28.8,6,173,115,2595,11.3,79,1,"chevrolet citation"
"258",26.8,6,173,115,2700,12.9,79,1,"oldsmobile omega brougham"
"259",33.5,4,151,90,2556,13.2,79,1,"pontiac phoenix"
"260",41.5,4,98,76,2144,14.7,80,2,"vw rabbit"
"261",38.1,4,89,60,1968,18.8,80,3,"toyota corolla tercel"
"262",32.1,4,98,70,2120,15.5,80,1,"chevrolet chevette"
"263",37.2,4,86,65,2019,16.4,80,3,"datsun 310"
"264",28,4,151,90,2678,16.5,80,1,"chevrolet citation"
"265",26.4,4,140,88,2870,18.1,80,1,"ford fairmont"
"266",24.3,4,151,90,3003,20.1,80,1,"amc concord"
"267",19.1,6,225,90,3381,18.7,80,1,"dodge aspen"
"268",34.3,4,97,78,2188,15.8,80,2,"audi 4000"
"269",29.8,4,134,90,2711,15.5,80,3,"toyota corona liftback"
"270",31.3,4,120,75,2542,17.5,80,3,"mazda 626"
"271",37,4,119,92,2434,15,80,3,"datsun 510 hatchback"
"272",32.2,4,108,75,2265,15.2,80,3,"toyota corolla"
"273",46.6,4,86,65,2110,17.9,80,3,"mazda glc"
"274",27.9,4,156,105,2800,14.4,80,1,"dodge colt"
"275",40.8,4,85,65,2110,19.2,80,3,"datsun 210"
"276",44.3,4,90,48,2085,21.7,80,2,"vw rabbit c (diesel)"
"277",43.4,4,90,48,2335,23.7,80,2,"vw dasher (diesel)"
"278",36.4,5,121,67,2950,19.9,80,2,"audi 5000s (diesel)"
"279",30,4,146,67,3250,21.8,80,2,"mercedes-benz 240d"
"280",44.6,4,91,67,1850,13.8,80,3,"honda civic 1500 gl"
"281",40.9,4,85,68.5997,1835,17.3,80,2,"renault lecar deluxe"
"282",33.8,4,97,67,2145,18,80,3,"subaru dl"
"283",29.8,4,89,62,1845,15.3,80,2,"vokswagen rabbit"
"284",32.7,6,168,132,2910,11.4,80,3,"datsun 280-zx"
"285",23.7,3,70,100,2420,12.5,80,3,"mazda rx-7 gs"
"286",35,4,122,88,2500,15.1,80,2,"triumph tr7 coupe"
"287",23.6,4,140,87.1127,2905,14.3,80,1,"ford mustang cobra"
"288",32.4,4,107,72,2290,17,80,3,"honda accord"
"289",27.2,4,135,84,2490,15.7,81,1,"plymouth reliant"
"290",26.6,4,151,84,2635,16.4,81,1,"buick skylark"
"291",25.8,4,156,92,2620,14.4,81,1,"dodge aries wagon (sw)"
"292",23.5,6,173,110,2725,12.6,81,1,"chevrolet citation"
"293",30,4,135,84,2385,12.9,81,1,"plymouth reliant"
"294",39.1,4,79,58,1755,16.9,81,3,"toyota starlet"
"295",39,4,86,64,1875,16.4,81,1,"plymouth champ"
"296",35.1,4,81,60,1760,16.1,81,3,"honda civic 1300"
"297",32.3,4,97,67,2065,17.8,81,3,"subaru"
"298",37,4,85,65,1975,19.4,81,3,"datsun 210 mpg"
"299",37.7,4,89,62,2050,17.3,81,3,"toyota tercel"
"300",34.1,4,91,68,1985,16,81,3,"mazda glc 4"
"301",34.7,4,105,63,2215,14.9,81,1,"plymouth horizon 4"
"302",34.4,4,98,65,2045,16.2,81,1,"ford escort 4w"
"303",29.9,4,98,65,2380,20.7,81,1,"ford escort 2h"
"304",33,4,105,74,2190,14.2,81,2,"volkswagen jetta"
"305",34.5,4,100,73.6487,2320,15.8,81,2,"renault 18i"
"306",33.7,4,107,75,2210,14.4,81,3,"honda prelude"
"307",32.4,4,108,75,2350,16.8,81,3,"toyota corolla"
"308",32.9,4,119,100,2615,14.8,81,3,"datsun 200sx"
"309",31.6,4,120,74,2635,18.3,81,3,"mazda 626"
"310",28.1,4,141,80,3230,20.4,81,2,"peugeot 505s turbo diesel"
"311",30.7,6,145,76,3160,19.6,81,2,"volvo diesel"
"312",25.4,6,168,116,2900,12.6,81,3,"toyota cressida"
"313",24.2,6,146,120,2930,13.8,81,3,"datsun 810 maxima"
"314",22.4,6,231,110,3415,15.8,81,1,"buick century"
"315",26.6,8,350,105,3725,19,81,1,"oldsmobile cutlass ls"
"316",20.2,6,200,88,3060,17.1,81,1,"ford granada gl"
"317",17.6,6,225,85,3465,16.6,81,1,"chrysler lebaron salon"
"318",28,4,112,88,2605,19.6,82,1,"chevrolet cavalier"
"319",27,4,112,88,2640,18.6,82,1,"chevrolet cavalier wagon"
"320",34,4,112,88,2395,18,82,1,"chevrolet cavalier 2-door"
"321",31,4,112,85,2575,16.2,82,1,"pontiac j2000 se hatchback"
"322",29,4,135,84,2525,16,82,1,"dodge aries se"
"323",27,4,151,90,2735,18,82,1,"pontiac phoenix"
"324",24,4,140,92,2865,16.4,82,1,"ford fairmont futura"
"325",23,4,151,90.8153,3035,20.5,82,1,"amc concord dl"
"326",36,4,105,74,1980,15.3,82,2,"volkswagen rabbit l"
"327",37,4,91,68,2025,18.2,82,3,"mazda glc custom l"
"328",31,4,91,68,1970,17.6,82,3,"mazda glc custom"
"329",38,4,105,63,2125,14.7,82,1,"plymouth horizon miser"
"330",36,4,98,70,2125,17.3,82,1,"mercury lynx l"
"331",36,4,120,88,2160,14.5,82,3,"nissan stanza xe"
"332",36,4,107,75,2205,14.5,82,3,"honda accord"
"333",34,4,108,70,2245,16.9,82,3,"toyota corolla"
"334",38,4,91,67,1965,15,82,3,"honda civic"
"335",32,4,91,67,1965,15.7,82,3,"honda civic (auto)"
"336",38,4,91,67,1995,16.2,82,3,"datsun 310 gx"
"337",25,6,181,110,2945,16.4,82,1,"buick century limited"
"338",38,6,262,85,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"339",26,4,156,92,2585,14.5,82,1,"chrysler lebaron medallion"
"340",22,6,232,112,2835,14.7,82,1,"ford granada l"
"341",32,4,144,96,2665,13.9,82,3,"toyota celica gt"
"342",36,4,135,84,2370,13,82,1,"dodge charger 2.2"
"343",27,4,151,90,2950,17.3,82,1,"chevrolet camaro"
"344",27,4,140,86,2790,15.6,82,1,"ford mustang gl"
"345",44,4,97,52,2130,24.6,82,2,"vw pickup"
"346",32,4,135,84,2295,11.6,82,1,"dodge rampage"
"347",28,4,120,79,2625,18.6,82,1,"ford ranger"
"348",31,4,119,82,2720,19.4,82,1,"chevy s-10"
